guess,ev,max guesses,pass,time
abash,3.76415,5,0,165.20463
adobe,3.64665,5,0,21.91284
adorn,3.58920,5,0,50.11191
afoul,3.69330,5,0,204.99589
aider,3.57063,5,0,67.46533
aimed,3.62765,5,0,61.75309
album,3.69287,5,0,125.48729
allay,3.85140,5,0,753.13302
argue,3.62635,5,0,19.32220
arise,3.56328,5,0,44.26251
armor,3.71188,5,0,156.06663
atoll,3.69330,5,0,114.58952
auras,3.73477,5,0,87.50780
avows,3.77927,5,0,70.31645
aware,3.72095,5,0,31.92960
awash,3.79352,5,0,165.56751
baggy,3.87732,5,0,238.60174
bases,3.77235,5,0,21.15873
basis,3.78618,5,0,133.42536
bears,3.59654,5,0,13.02027
beast,3.56717,5,0,23.88996
began,3.66048,5,0,53.04241
belay,3.64536,5,0,74.32754
bells,3.74082,5,0,104.66196
bicep,3.65659,5,0,30.96504
bigot,3.66307,5,0,66.90939
biled,3.61987,5,0,39.66705
biome,3.63715,5,0,65.57742
bison,3.63585,5,0,114.94784
blare,3.55940,5,0,11.89586
bleat,3.57970,5,0,24.79473
blend,3.63931,5,0,65.31815
blitz,3.75680,5,0,172.05608
blurb,3.80907,5,0,212.62020
boney,3.65875,5,0,60.20032
books,3.83456,5,0,252.47552
borer,3.69114,5,0,65.85779
bough,3.72873,5,0,165.76925
boxer,3.73261,5,0,70.36086
brash,3.61296,5,0,20.90649
bravo,3.70281,5,0,39.54782
bride,3.58704,5,0,40.47014
bring,3.65961,5,0,99.86824
brook,3.79870,5,0,224.95469
bunch,3.69892,5,0,234.20893
burst,3.61210,5,0,48.77098
busts,3.81210,5,0,221.28875
cabby,3.83456,5,0,225.69443
cameo,3.61469,5,0,17.65922
canal,3.67041,5,0,173.43235
cares,3.55724,5,0,9.73884
cargo,3.61123,5,0,33.57623
casks,3.80562,5,0,124.39090
ceder,3.65011,5,0,50.11613
chain,3.60950,5,0,119.23193
cheap,3.65097,5,0,33.42184
chefs,3.71102,5,0,79.64939
chief,3.67819,5,0,37.38413
chime,3.62808,5,0,70.59521
chips,3.66825,5,0,107.42244
chock,3.85918,5,0,278.40875
citer,3.55551,5,0,15.56199
civic,4.02030,5,1,1378.06318
court,3.58099,5,0,45.74017
coyer,3.62419,5,0,23.79979
craft,3.58143,5,0,23.96367
crass,3.70454,5,0,47.40934
creed,3.65097,5,0,50.78084
crest,3.55983,5,0,12.52633
cried,3.56847,5,0,26.56085
crime,3.55767,5,0,24.84863
crock,3.78488,5,0,113.24990
crude,3.58790,5,0,26.72428
cryer,3.71663,5,0,63.19910
cupid,3.67343,5,0,142.71182
curse,3.56415,5,0,16.69456
curvy,3.74125,5,0,155.45072
daddy,3.97365,5,0,339.56793
decor,3.59482,5,0,28.27127
deeds,3.86393,5,0,180.45954
detox,3.75292,5,0,73.31548
dicey,3.65443,5,0,43.41470
diked,3.83110,5,0,175.38805
dingo,3.67430,5,0,203.31853
ditch,3.64363,5,0,109.38837
dived,3.83153,5,0,106.32303
dodgy,3.83413,5,0,364.46787
donor,3.68294,5,0,110.16394
doper,3.59654,5,0,30.77969
dopey,3.66177,5,0,36.27424
dorms,3.64665,5,0,66.72626
dotes,3.60605,5,0,14.36787
dough,3.72225,5,0,168.02684
drain,3.56760,5,0,55.54026
drape,3.54816,5,0,19.05173
draws,3.67257,5,0,17.41231
dress,3.75248,5,0,56.87331
drips,3.61901,5,0,62.90703
droll,3.69546,5,0,195.63764
duchy,3.74816,5,0,327.32079
dusts,3.80432,5,0,235.36765
eared,3.65788,5,0,40.13466
earns,3.58402,5,0,9.12441
eased,3.69676,5,0,43.87397
ebony,3.69158,5,0,115.64298
eerie,3.80302,5,0,218.28796
elude,3.69762,5,0,131.61421
ended,3.85961,5,0,116.01051
epoxy,3.83585,5,0,137.96523
ester,3.68207,5,0,24.72649
ether,3.71188,5,0,34.18353
ethos,3.67516,5,0,59.87501
every,3.84838,5,0,96.50336
exits,3.77408,5,0,125.65780
faint,3.60173,5,0,91.83188
fanny,3.81210,5,0,339.99061
fetid,3.65443,5,0,96.20803
fight,3.72786,5,0,124.36129
films,3.69633,5,0,193.14883
finer,3.61253,5,0,39.60989
firer,3.72570,5,0,136.45916
fixer,3.76587,5,0,152.21386
flail,3.75637,5,0,305.95403
flint,3.60734,5,0,136.84478
flour,3.66566,5,0,98.42192
fluid,3.69158,5,0,302.93191
foley,3.66307,5,0,100.65644
fools,3.74600,5,0,249.39657
forks,3.71015,5,0,119.39844
found,3.68683,5,0,219.63179
freed,3.71188,5,0,102.00706
fritz,3.75508,5,0,240.18203
fudgy,3.79741,5,0,276.27581
furor,3.76933,5,0,195.31306
futon,3.67343,5,0,151.00102
gaily,3.61771,5,0,121.73619
gangs,3.78618,5,0,157.94348
gauze,3.79266,5,0,110.06309
geeky,3.85140,5,0,240.13641
girth,3.64838,5,0,55.66335
gives,3.72181,5,0,46.68378
glass,3.72700,5,0,157.45485
glued,3.61555,5,0,56.66759
glues,3.63801,5,0,33.23089
gnash,3.64320,5,0,129.85729
goner,3.58445,5,0,36.39526
gooey,3.76933,5,0,154.38483
gorge,3.74125,5,0,126.39585
grain,3.58143,5,0,52.18411
graph,3.64838,5,0,28.86050
greed,3.69201,5,0,81.16405
gripe,3.58099,5,0,27.81695
groin,3.59309,5,0,131.48890
grows,3.68942,5,0,48.77690
guess,3.81382,5,0,182.69941
gumbo,3.78272,5,0,126.76948
gyoza,3.83801,5,0,447.83706
hazed,3.76933,5,0,38.90396
heads,3.63758,5,0,47.91352
heels,3.69158,5,0,127.91935
hexer,3.82678,5,0,71.37600
highs,3.83715,5,0,297.69791
hoist,3.57927,5,0,77.53523
hoked,3.71447,5,0,39.75614
holes,3.60864,5,0,22.73369
homed,3.66048,5,0,38.01100
honed,3.60778,5,0,34.17500
hooks,3.82376,5,0,280.99327
hoved,3.70972,5,0,40.91305
hovel,3.67171,5,0,39.05608
hover,3.67862,5,0,47.16447
human,3.69892,5,0,214.08223
hurry,3.79914,5,0,267.61209
hyena,3.71145,5,0,90.57633
icier,3.73045,5,0,77.21211
idiom,3.83585,5,0,486.46832
inept,3.63153,5,0,42.27349
ingot,3.65227,5,0,86.31348
inset,3.59179,5,0,12.89534
intro,3.62678,5,0,57.62748
irons,3.58618,5,0,93.31228
ivory,3.73909,5,0,143.64907
jetty,3.91317,5,0,184.43018
joins,3.73305,5,0,267.22506
joyed,3.78834,5,0,79.29591
juked,3.86695,5,0,106.81875
jumps,3.86782,5,0,159.53077
juror,3.86695,5,0,353.89464
kills,3.78531,5,0,325.17334
knave,3.73477,5,0,36.78382
knead,3.68855,5,0,48.23358
kneed,3.77624,5,0,63.93318
knelt,3.66307,5,0,44.13906
knobs,3.74039,5,0,111.54315
label,3.71793,5,0,30.09731
labor,3.59525,5,0,27.74326
lacks,3.67905,5,0,58.70261
lamps,3.65227,5,0,43.35832
lased,3.59395,5,0,12.50651
lasts,3.71361,5,0,116.58555
leant,3.52916,5,0,22.80770
lease,3.62981,5,0,45.73628
lefty,3.69460,5,0,131.91524
liens,3.60605,5,0,55.80878
liken,3.65875,5,0,49.38140
lilac,3.73564,5,0,229.89732
livid,3.82721,5,0,292.80652
loops,3.73434,5,0,142.98431
loses,3.72441,5,0,62.53338
lover,3.66177,5,0,40.33878
lowed,3.64665,5,0,38.98861
lucky,3.76458,5,0,234.00443
lured,3.59827,5,0,29.32006
lurer,3.71102,5,0,49.54326
luted,3.58834,5,0,24.17183
lying,3.68294,5,0,218.33161
mains,3.61987,5,0,71.75030
malls,3.72009,5,0,151.95054
